"b108345166","974.71 R","Brooklyn's Green-Wood Cemetery :","ocm40135627","98203920","0966343506 :",
"b108345877","796.357 R","Branch Rickey's little blue book :","ocm32051424","95004146","0028604008 :",
"b108346110","917.472 R532","Brooklyn, U.S.A. :","871113761","46007553",,
"b108346584","097 R53","Composite book-plates, 1897-8.","906941516","05024874",,
"b108347631","551.74 R","Correlation of the Devonian rocks in New York State /","834363690",,,
"b108349032","287.809 R","Dark salvation :","760296876","76003009","0385002459 :",
"b108369882","305.8916 R","The Flatbush Irish /","911075124","84177769",,
"b108373460","974.723 R","Canarsie :","ocm10996639","84015660","0674093615";"9780674093614";"0674093607 (alk. paper)";"9780674093607 (alk. paper)",
"b108373770","974.723 R","Danger and dispossession :","855574527",,,
"b108380282","305.5 R","How the other half lives :","ocm00139827","75121585","0486220125";"9780486220123",
"b108381924","305.4896 R","The emergence of lesbian kinship patterns in the late twentieth century U.S. :","ocm30503238",,,
"b108395613","907.2 R","Doing oral history /","ocm30783166","94020304","0805791248 :";"0805791280 (pbk. : alk. paper)",
"b108397105","FIC R","The man who brought the Dodgers back to Brooklyn /","811638026","80039796","0671253565",
"b108397270","025.84 R","Preserving archives and manuscripts /","ocm29408278","94151026","0931828945 (alk. paper) :",
"b108424844","B ROBINSON I","I never had it made /","730006853","75175272","0399110100",
"b108434862","821 R665","Poems by Thomas Romney Robinson :","ocm04951631","28008869",,
"b108441106","B ROBINSON S","Stealing home :","ocm34190446","96003982","006017191X :",
"b108452293","974.72 R68","History of the Memorial monument in Highland Park, and memoir of the soldier who served in the World War from the twenty second assmebly district of Brooklyn, New York.","871347627",,,
"b108453637","283 R67","Our church's first century ;","907584557",,,
"b108457886","917.4723 R691 C","Change of streets.","871253096",,,
"b108461877","974.71 R69","New York: the world's capital city :","710568811","48007417",,
"b108461920","974.723 R691 O","Our Brooklyn :","834903482",,,
"b108463461","B M9116 R","Robert Moses, builder for democracy /","823101605","52010302",,
"b108465731","973.8 R","The age of individuality :","841430832","83061380","0942910052",
"b108466231","910 R71","Diary of my journey from Muehlhausen in Thuringia via Bremen to the United States of North America in the year 1831 /","907340804","32000522",,
"b108467636","624 R71","Pneumatic tower foundations of the East River suspension bridge /","886715601",,,
"b108467764","352.7 R711 R","Report of John A. Roebling, to the president and directors of the New York Bridge Company, on the proposed East River bridge.","ocm20844413",,,
"b108468549","622.1841 R","The California gold miners from Brooklyn, New York, as viewed by the local press /","ocm43271721",,,
"b108468963","379.7471 R725 O","110 Livingston Street ;","720460649","68014499",,
"b108473788","B W615 RO","The magnificent idler ;","770324398",,,
"b108485985","361 R75 F","50th anniversary [of] Catholic charities, Diocese of Brooklyn, 1899-1949.","906633789",,,
"b108487143","779.2092 R","Come Sunday /","ocm34641120","95082057","0810961571";"0870701223 :";"0870701231",
"b108487787","779.99747 R","Found in Brooklyn /","ocm34782707","96022860","0393039536";"0393314308 (pbk.)",
"b108488202","779.2 R","Higher ground :","ocm39307220","98008661","1564660621";"1891024000 (hardcover)";"1891024019 (pbk.)",
"b108491377","779.2092 R","Sunset Park /","ocm39045074","98018926","1560986433 (paper : alk. paper)",
"b108502466","B OLMSTED","Flo: A biography of Frederick Law Olmsted.","740281124","73008125","0801815088",
"b108519491","796.35764 R","The great chase :","931216128","91051208","0899507131 (acid-free paper)",
"b108521977","974.72 R82 H","A history of Long Island :","ocm05691049","02014589",,
"b108523858","307.109 R","The impact of community organization on East Brooklyn, 1978-1995 /","ocm37602922",,,
"b108526483","FIC ROSTEN","Love in all its disguises /","811763855","81065135","0877953244",
"b108528029","B MONROE R","Marilyn: an untold story.","730310264",,,
"b108528078","J FIC R","My block /","881538612","86028897","0689312830",
"b108531910","FIC R","Neighborhood tales /","861248613","86004189","0807611522 :",
"b108532161","FIC R","Over and out.","720539038",,,
"b108532227","002.092 R","Old books, rare friends :","ocm35792214","96037176","038548514X (alk. paper)",
"b108532252","362.11 R","A once charitable enterprise :","821379066","81021725","0521242177",
"b108534248","301.329 R","Population history of New York City.","730043192","75039829","0815621558",
"b108537092","J FIC R","The rose horse /","ocm30891403","94019629","0152000682",
"b108539271","811 R83 S","Songs for Patricia /","834740020","51012389",,
"b108540959","811 R","Selected poems /","791386898","79052399","0807609307",
"b108541484","917.471 R","South Street :","780018163","76062807","0486233960 :",
"b108544771","FIC R","Under the boardwalk.","821278428","68026738",,
"b108547000","641.50974 R","Welcome to Junior's :","ocm39679211","98038877","0688159001 :",
"b108554168","974.702 R","New York City neighborhoods :","ocm20320478","89017935","0125987250 (alk. paper) :";"0125987269 (pbk. : alk. paper)",
"b108555598","FIC ROTHCHILD","Sunshine and salt.","897085063","64017281",,
"b108575810","655.7 R888 CLR","Report of the Committee on leather for bookbinding /","896622074",,,
"b108580465","296.833 R","Contemporary Satmar :","907781911",,,
"b108582176","811 WHITMAN R","The historic Whitman.","750006491","72001067","0271011173",
"b108583983","917.4723 R894 P","Place names in Brooklyn Heights.","871253034",,,
"b108584628","296.833 R","Satmar; an island in the city /","750027596","79182505",,
"b108590033","B RUDD S","The sporting life :","906373737","89077468","0312044283 :",
"b108592844","929.2 BEECHER R","The Beechers :","811740693","80008696","0060148594 :",
"b108593666","917.471 R93","A picture of New-York in 1846 :","ocm05921698",,,
"b108610962","382 R95","The port of New York.","720091115","20010357",,
"b108619825","282.74723 R","Brief history of St. Bernadette's Roman Catholic Shrine Church, Dyker Heights :","ocm32173427",,,
"b108623324","B OLMSTED R","A clearing in the distance :","ocm40744440","99018094","0684824639 :",
"b108626027","929 R993","The Ryerson genealogy ;","907166222","17005421",,
"b108626155","325 R99","Norwegians in New York, 1825-1925 /","720118288","42025805",,
"b108626167","284.1 R","The Norwegian Seamen's Church ;","906634541",,,
"b108633275","B W891 S","Suppressed history of General Nathaniel Woodhull :","833916298","54001510",,
"b108648266","362 B87 Sm","Annual report of Saint Mary's Hospital for Children.","907499176",,,
"b108665367","325.7471 S","The newest New Yorkers :","923264674",,,
"b108667510","373.747 S","Race war in high school ;","730116212","72077639","0870001701",
"b108668629","735 S18","Statues of New York /","720154272","23000233",,
"b108669038","364.36 S167 S","The shook-up generation.","690074883","58011394",,
"b108676663","B SAMMOND S","Seventy years at the console /","ocm19244587",,,
"b108679469","813 S22","Brooklyn Heights /","ocm22348189","30000031",,
"b108679676","317.4723 S","Bushwick neighborhood profile /","881222372",,,
"b108679974","317.4723 S","The Bedford-Stuyvesant neighborhood profile /","931239392",,,
"b108681002","317.4723 S","Crown Heights neighborhood profile /","881223437",,,
"b10869642x","305.851 S","The relationship between ethnic identification and self-acceptance in third generation Italian-Americans.","871060908",,,
"b108696790","317.4723 S","Red Hook neighborhood profile /","881224376",,,
"b108699298","317.4723 S","The Sunset Park profile /","907816992",,,
"b108702443","317.4723 S","The Williamsburg neighborhood profile /","921016691",,,
"b108708615","B fM8232 S","Humility, concentration & gusto ;","896671116","60050005",,
"b108734985","B ROEBLING S","Ellet and Roebling /","ocm11756899","84251210","0933788428 (pbk.)",
"b108735370","352.0747 S275 G","Governing New York City ;","690112102","60008408",,
"b108744632","678 S377","100 years of air control :","906544083",,,
"b108747864","FIC SCHWARTZ","American life: shtetl style ;","906833644","67018087",,
"b108749009","388.4 S353 A","Argument on the Brooklyn Bridge problem :","896574778",,,
"b108750838","641.5945 S","Bruculinu, America :","ocm38732072","98006435","0395913748 :",
"b108751818","071.471 S","The Brooklyn Eagle, 1841-1955 :","ocm20029041",,,
"b108757389","421.8 S399C","The complete dictionary of abbreviations.","700173280","55005843",,
"b108757390","796.3576 S","The complete Dodgers record book /","841281203","82015695","0871961172",
"b108762889","351.818 S","DUMBO and the dynamics of development :","ocm45351537",,,
"b108767206","071.4723 S","The Eagle and Brooklyn :","750067970","73020972","0837173353",
"b108768971","974.723 S","Emerging neighborhoods :","871061190",,,
"b108781999","929.2 S","Historical sketch of the Zabriskie homestead (removed 1877), Flatbush, L.I. :","ocm20618013",,,
"b108784551","339.2 S","Income flows in urban poverty areas :","820780030","72012562","0669857793",
"b108784708","974.72 S38","Illustrated history of Greater Ridgewood, together with brief sketches of its industries, organizations and biographical sketches of some of its prominent men.","871362186",,,
"b10879751x","929 S32","Memoir of Johannes Schenk, the progenitor of the Bushwick, L.I., family of Schenck.","907391217",,,
"b108802024","974.71 S","New York :","ocm38304511","98010533","0393045811",
"b108803314","663.42 S29","Our one hundredth year, 1842-1942.","854331798","43005785",,
"b108807605","917.4723 S399 P","Place names in Greenpoint.","871253933",,,
"b108807617","917.4723 S","Place names in Olympia.","871252880",,,
"b108810331","338.76663 S","Pour your heart into it :","ocm37591934",,"0786863153 :",
"b108812832","920 S397","The Roeblings :","831088201","77175582","0404056253",
"b108820506","027.47471 S","Survey of the Bedford Branch of the Brooklyn Public Librry, with particular emphasis on its youth library /","ocm32883368",,,
"b108828207","289.9 S361 T","Thirty years a Watch Tower slave :","831717814",,,
"b108828530","307.3362 S","The unbounded community :","931303135","91040452","082231228X",
"b108834396","B WHITMAN S","Walt Whitman :","ocm36755876","97014311","0525943730 (acid-free paper) :",
"b108847123","307.764 S","Neighborhood participation in Boerum Hill, Brooklyn /","ocm48195954",,,
"b108853615","974.722 S43","In stage coach days /","871347855",,,
"b108859204","016.974 S43","Long island bibliography /","800204125","41004320",,
"b108876779","974.71 S","The other islands of New York City :","ocm34354648","96011597","0881503363 (alk. paper) :",
"b108883115","FIC SELBY","Last exit to Brooklyn /","ocm18568386","85045940","0802131379 :",
"b108897655","069.53 S","Exhibit labels :","ocm34283888","96010710","0761991069 (pbk. : alk. paper) :";"0761991743 (cloth : alk. paper)",
"b108901658","B STEWARD S","Voice of dissent :","931333695","91038540","0926019589 :",
"b108908574","012.929 S","Long Island genealogical source material :","ocm01464052","62004252",,
"b108908641","097 S49","Making a bookplate /","891093711","49004748",,
"b108912309","388.4 S519 B","B.R.T. trolley lines in Queens County /","833414662",,,
"b108913600","385.09747 S","The Long Island Rail Road ;","770172864","61017477",,
"b10892001x","917.4723 S53 B","Brooklyn.","871252272",,,
"b108923253","307.12 S","The city that never was :","881421122","87040670","0670805580",
"b108928123","B B414 SH","Free love and heavenly sinners ;","800193714","54007212",,
"b108929280","B SHARPTON G","Go and tell Pharaoh :","ocm33948728","95043050","0385475837 :",
"b108932229","282.747 S531","History of the Diocese of Brooklyn, 1853-1953 :","834405929","55024357",,
"b108945571","282.0924 S","An old priest remembers, 1892-1978 /","791333657","78069764","0682491837 :",
"b108947300","388.132 S","A picture history of the Brooklyn Bridge :","831376404","82009506","0486244032 :",
"b108954444","027.4747 S","A study of the advantages and disadvantages of consolidation /","ocm07763264",,,
"b108966951","B B414 S2","Anecdotes of Henry Ward Beecher /","906866352",,,
"b108967013","016.811 M823 S","The achievement of Marianne Moore ;","834681050","58012434",,
"b108967414","362.795 S","Annual report of the Sheltering Arms Nursery.","ocm08580886","sn 77021000",,
"b108979647","016.9747 S","The Irish experience in New York City :","ocm32924644","95037394","0815681216 :",
"b108985787","361.8 S","Neighborhood councils :","ocm47670821",,,
"b108988831","071.471 S","The paper's papers :","ocm32890740","95032709","0812924533 (acid-free paper) :",
"b108989884","917.4723 S5532 R","Red Hook place-names.","871252044",,,
"b108999270","016.97 S554","Bookman's guide to Americana /","ocm24068284","91025404","0810824647 (alk. paper)",
"b109010838","FIC SHOTWELL","Adam Bookout.","720580213","67024855",,
"b109023043","813.5 S","The Amboy dukes /","834808442","47002664",,
"b109037339","917.471 S","The Big Apple business and pleasure guide :","931229517","92022816","0942361539 (paper) :",
