001,010,020$a,022$a,245$a
"ocm11874100","\\$a09010535",,,"Garland genealogy :"
"ocn950898174","\\$a09010534",,,"Genealogy of the descendants of John Gar,"
"ocm08100247","\\$a03004166",,,"Governor Garrard, of Kentucky :"
"ocm02701785","\\$a09023996",,,"A history of Welcome Garrett and his descendants, from his birth in 1758 down to a recent date ..."
"ocm01839164","\\$anuc87842692",,,"The genealogy in part of Stephen and William Garrett of Buckingham, Virginia :"
"ocm05346322","\\$a32015876",,,"The Garrett family of Louisa County, Va.,"
"ocm10631145","\\$a10032027",,,"Major John Garrett, slain July 3, 1778."
"ocm14094788","\\$a35013999",,,"Garvin genealogy."
"ocm06131376","\\$a18021858",,,"Gary genealogy."
"ocm10335445","\\$a01018183",,,"Stephen Gates of Hingham and Lancaster, Massachusetts, and his descendents."
"ocn247440203","\\$a08017283",,,"Silas Gates, of Stow,Mass.,and the descendants of his son,Paul Gates,of Ashby,Mass."
"ocm19131988",,,,"John Gay of Dedham, Massachusetts,"
"ocm07949198","\\$a14010168",,,"John Gay of Dedham, Massachusetts"
"ocm05207026","\\$a09010533",,,"History of the Gazzam family,"
"ocm03391175","\\$a35013990",,,"The Gee family of Union County, South Carolina /"
"ocn191114201",,,,"History of the descendants of J. Conrad Geil and his son Jacob Geil :"
"ocm01841473","\\$anuc87504716",,,"The Gentry family in America, 1676 to 1909,"
"cbh-000284","\\$a25002339",,,"A genealogical record and history of the Georgia family in America :"
"ocm02640023","\\$a26007552",,,"History of the Gerberich family in America (1613-1925)"
"ocm06327984","\\$a04024940",,,"Philip Gereardy of New Amsterdam :"
"ocm84372481",,,,"Heinrich Gernhardt and his descendants :"
"ocm06988088","\\$a13012588",,,"The Gerrish family"
"ocm05345678","\\$a02025215",,,"Gibbens-Butcher genealogy."
"ocm14075321","\\$a03004148",,,"Family notices /"
"ocm58670682",,,,"Memoir of the Gibbs family of Warwickshire, England, and United States of America."
"ocm13988511",,,,"Report to the Gibson Association of Vermont, U.S.A. /"
"ocn475691094",,,,"John Gibson of Cambridge, Massachusetts and his descendants, 1634-1899 /"
"cbh-000285","\\$a84246261",,,"Capt. James Gibson and Anna Belle, his wife and their descendants :"
"ocn865798348","\\$a09010180",,,"The Giddings family, or, The descendants of George Giddings :"
"ocn191112172","\\$a84247706",,,"Gifford genealogy, 1626-1896 /"
"ocm11632945",,,,"History of the Gift, Kern and Royer families /"
"ocm05427278",,,,"Reminiscences of early days :"
"ocm66269631","\\$a20021929",,,"A record of the Benjamin Gilbert branch of the Gilbert family in America (1620-1920)"
"ocm13164023",,,,"The Gilbert family, the Carver family, and the Duffield family."
"ocm01659200","\\$a56000282",,,"Memoirs regarding the family of John Gilbert (1752-1829) :"
"ocm11979412",,,,"History of the Richard Gilchrest family of Dublin, N.H."
"ocm10866192","\\$a14019870",,,"Gildersleeves of Gildersleeve, Conn."
"ocm01703653","\\$awln82023548",,,"Gildersleeve pioneers, /"
"ocm02048841","\\$a09010528",,,"The Giles memorial."
"ocm04718003","\\$a24006781",,,"Sketches :"
"ocm05161155","\\$a39006909",,,"Gill; abstracts from records in southern states and genealogical notes,"
"ocm00994769","\\$a73085068",,,"Descendants of John and Mary Jane (Cunningham) Gillespie,"
"ocm02716804","\\$a76015134",,,"Ancestry of Elizabeth Barrett Gillespie"
"ocm14160778",,,,"Descendants of Jonathan Gillet, of Dorchester, Mass., and Windsor, Conn. /"
"ocm13164146","\\$a34023205",,,"The Gillett family :"
"ocm19060016",,,,"Ancestry of Joseph Gillingham, of Bucks County and Phila., Penna., and Rebecca, daughter of Samuel Harrold, his wife"
"ocm03146037","\\$a09010527",,,"The Gilman family traced in the line of Hon. John Gilman, of Exeter, N.H. :"
"ocm16141321","\\$anuc87488934",,,"A genealogical and biographical record of that branch of the family of Gilman,"
"ocm04150672","\\$a37016843",,,"The Gilmers in America,"
"ocm71214904","\\$a19014393",,,"A partial list of the descendants of the Rev. George Gillmore, A.M., loyalist :"
"ocm03988444","\\$a33000423",,,"William Gilmor-Sarah Hanna, 1778; Arthur Scott jr.-Ann Hamilton, 1788"
"ocn191113237",,,,"Robert and James Gilmore who settled in southern New Hampshire and their descendants :"
"ocm07268856","\\$a25015466",,,"Gilmore ancestry"
"ocm13981772","\\$a09010526",,,"The Gilpin family from Richard De Guylpyn in 1206 :"
"ocm02748227","\\$a27027475",,,"The Kentucky Gilpins,"
"ocm07044351","\\$a09010525",,,"Genealogy of the Gillson and Jillson family /"
"ocm18519250",,,,"The Gindrat family :"
"ocm05161100","\\$a40005547",,,"Matthias Gish of White Oak"
"ocm03435321","\\$a35014589",,,"The Gist family of South Carolina and its Maryland antecedents /"
"ocm04589934","\\$a18015852",,,"The Gladding book:"
"ocm13999141","\\$a28013975",,,"An historical sketch of the Glander family :"
"ocm04581456","\\$a01010747 //rev",,,"Record of Casper Glattfelder :"
"on1037547714","\\$a10000651",,,"Genealogy of the descendants of Thomas Gleason of Watertown, Mass. 1607-1909,"
"ocm04368930","\\$a24004253",,,"A history of the Glen family of South Carolina and Georgia,"
"ocm13168494","\\$a26009317",,,"The descendants of Charles Glidden of Portsmouth and Exeter, New Hampshire,"
"ocn475691318",,,,"Genealogy of Glover clans."
"ocm09198630","\\$a36003770",,,"The Samuel Goddard families, descendants of William Goddard, New England immigrant, who settled at Watertown, Massachusetts, in 1665."
"cbh-000286","\\$a10011177",,,"Genealogy of the Goding family /"
"ocm03510966","\\$a15008247",,,"The Adam Good family history /"
"ocm02700297","\\$a04020061",,,"Virginia cousins:"
"ocm11710913","\\$a09010671",,,"History and genealogy of the Goodhue family :"
"ocm03668546",,,,"Goodlock and allied families."
"ocm01854898","\\$a31000075",,,"The Goodmans of Bolton, New York :"
"ocm05882427","\\$a12005141",,,"Life of Jefferson Dillard Goodpasture :"
"ocm11529586",,,,"The Goodridge genealogy :"
"ocm18993664",,,,"Goodridge memorial:"
"ocm58908113","\\$a09010670 /Rev.",,,"The Goodrich family in America :"
"ocm05145682","\\$a09010509",,,"The Goodrich family memorial."
"ocm05908294","\\$a12022974",,,"The Goodrich family /"
"ocn475691403","\\$a01011971",,,"The Goodwins of Delaware Water Gap, Pa. and Tompkins County, N.Y."
"ocm14048472","\\$a22001706",,,"The ancestry of Elisha Goodwin of sixth generation of Goodwin family of Kittery, York County, Maine, and his descendants /"
"ocm06135444","\\$a15015545",,,"Various ancestral lines of James Goodwin and Lucy (Morgan) Goodwin of Hartford, Connecticut,"
"ocm02698824","\\$a84228374",,,"The Goodwins of Kittery, York County, Maine /"
"ocm13309569","\\$a01018740",,,"Genealogy of the Goodyear family /"
"ocm39285410","\\$a15024544",,,"The Googins family in America /"
"ocm05149424","\\$a13018992",,,"Colonel James Gordon of Lancaster (1714-1768)"
"ocm14096535","\\$a20009254",,,"A brief genealogy of the Gore family :"
"ocm82369939","\\$a14007580$z14007580",,,"Pedigree of Sir Ferdinando Gorges,."
"cbh-000287",,,,"Jabez Gorham of Plymouth, Mass., and his descendants."
"ocm14096492",,,,"Gorhams of Hardwick, Mass."
"ocm13919302","\\$a01005219",,,"The Gorham family in Rhode Island :"
"ocm09259685","\\$anuc87836883",,,"Gorham families of Yarmouth /"
"ocm03511017","\\$a56023449",,,"Some descendants of Captain John Gorham of Plymouth Colony in New York State and the Western Reserve /"
"ocm05782312","\\$anuc87563168",,,"Samuell Gorton: a forgotten founder of our liberties"
"ocm03536490","\\$a17015776",,,"Gosnold and Bacon."
"ocm01409624",,,,"The Goss family :"
"ocm14094739","\\$a28015961",,,"Daniel Gott, Mount Desert pioneer :"
"ocm00579321","\\$a72088096",,,"Ancestors & descendants of an Ohio Gott family, 1628-1972"
"ocm11229967",,,,"A genealogical history of the Gottshall family :"
"ocm06623653","\\$a28023904",,,"A family record, and other matters which, it is hoped, will be good for the souls of men and women"
"ocm02942845","\\$a09010520",,,"The ancestry and posterity of Zaccheus Gould of Topsfield :"
"ocm13018251",,,,"The family of Zaccheus Gould of Topsfield /"
"cbh-000288","\\$a44050621",,,"The descendants of Richard Gould of Chatham, Mass. :"
"ocm06405740","\\$a05014933",,,"Three hundred years of a Norman house:"
"ocm01691856","\\$a23009054",,,"The Gove book :"
"ocm04653212","\\$a24002427",,,"A family history comprising the surnames of Gade--Gadie--Gaudie--Gawdie--Gawdy--Gowdy--Goudey--Gowdey--Gauden--Gaudern--and the variant forms, from A. D. 800 to A. D. 1919."
"ocm09487030","\\$a31020887",,,"John Grady (1710-1787) of Dobbs and Duplin,"
"ocm24820189",,,,"Constitution of the Hans Graf Family Association ..."
"ocm07135098","\\$a50013889",,,"The de Graffenried name in literature."
"ocm14048484",,,,"Memoirs of the Graham family."
"ocm39261462",,,,"Graham family records,"
"ocm03512147","\\$a44001135",,,"The Reverend John Graham of Woodbury, Connecticut and his descendants /"
"ocm05149394","\\$aa 45005014",,,"The Granberry family and allied families :"
"ocm19026459","\\$a28012384",,,"The descendants of Edward Grannis :"
"ocm03565950",,,,"Genealogical history of the Grannis family in America from 1630 to 1901 :"
"ocm07074674","\\$a99000039 //r",,,"The Grant family"
"ocm57272527","\\$a03002335$z03002335",,,"The Grant family magazine, supplementary to the Grant family history."
"ocm13998755",,,,"Gray genealogy :"
"ocm12145823","\\$a05003025",,,"The Gray family reunion at West Sedgwick, Maine :"
"ocm09538752","\\$a14020676",,,"Joshua Gray of Yarmouth, Massachusetts, and his descendants."
"ocn191112262","\\$anuc87523175",,,"William Gray of Lynn, Massachusetts,"
"ocm04579981","\\$a07033223",,,"Genealogy of the Greely-Greeley family,"
"ocm04652702","\\$a16005354",,,"A genealogical sketch of the descendants of Thomas Green<e>of Malden, Mass."
"ocm01940551","\\$a09010514",,,"Greenes of Warwick in colonial history."
"ocm04648306","\\$a85100604",,,"A genealogical sketch of the descendants of Robert Greene of Wales, Mass. /"
"ocm18202405",,,,"Genealogy of the family of Timothy and Eunice (Ellsworth) Green /"
"ocm03098000","\\$a09010510",,,"Descendants of Joseph Greene, of Westerly, R.I."
"ocm07237077","\\$a09010515",,,"An account of Percival and Ellen Green and some of their descendants /"
"ocm02180109","\\$a47024695",,,"The history of Levi Greene of Rhode Island, Massachusetts, New York, Michigan,"
"ocm04993980",,,,"The Greenes of Rhode Island :"
"ocn405973066",,,,"The Greene family in England and America :"
"ocm04652345","\\$a09010522",,,"Genealogy of the Greenleaf family."
"ocm16869492","\\$a09010523 //r44",,,"A genealogy of the Greenleaf family."
"ocm04827271","\\$a09010203",,,"Notes upon the ancestry of Ebenezer Greenough,"
"ocm05149368","\\$a15001683",,,"Greenwood genealogies, 1154-1914 :"
"ocm14115607","\\$a37016968 //r",,,"The Gregory geneology [sic] :"
"ocm00728667","\\$a38036147",,,"Ancestors and descendants of Henry Gregory,"
"ocm05145380","\\$a25021348",,,"The Gresham family :"
"ocm08119407","\\$a14019869",,,"Gresham; biographical and historical sketches of the Greshams of America and across the seas."
"on1008469760","\\$a08037473",,,"An historical and genealogical account of the noble family of Greville :"
"ocm02176706","\\$a20002615",,,"A partial history of the Griffin family in Massachusetts :"
"ocm04652617","\\$a31034703",,,"Descendants of Chisolm Griffin,"
"ocm10906431","\\$a15023033",,,"Stephen Griffing :"
"ocn857084302","\\$a25010754",,,"Ancestors and descendents [sic] of Richard Griffin of Smithville, Ont. :"
"ocm02950448","\\$a76048560",,,"Gershom & Phoebe Griffin, their ancestors and descendants /"
"ocm03512275","\\$a21006660",,,"Genealogy of the Griffith family :"
"ocn249187278","\\$a23000974",,,"The pedigree of William Griffith, John Griffith and Griffith Griffiths :"
"ocm25838519",,,,"Genealogical tables of the Griffitts family from 1752 to 1887 /"
"ocm05145734","\\$a27024036",,,"Genealogy of the Griggs family,"
"ocn191112296","\\$a06043481",,,"Genealogy of the Grigsby family in part :"
"ocm04108692",,,,"History of the Grim family of Pennsylvania and its associated families,"
"on1138927156","\\$a37016841",,,"Ancestry of the Grinnell family /"
"ocm04988723","\\$a32001796$z32001796",,,"A narrative of the Griswold family from Thomas Griswold, esquire of Weathersfield and Guilford 1695."
"ocm04385132","\\$a08037649",,,"Black Hall :"
"ocm07060652","\\$a40014629",,,"The Griswolds on the Olentangy"
"ocm01656989","\\$a34010430",,,"John Grosvenor of Roxbury, Mass, :"
"ocm07076330","\\$a23001671 //r",,,"Captain John Grout of Watertown and Sudbury, Massachusetts, and some of his descendants."
"ocm16313148","\\$anuc87516240",,,"A history and genealogy of the Groves family in America descendants of Nicholas La Groves of Beverly, Mass."
"ocm79002868","\\$a47039436$z47039436",,,"Genealogy of the Grove and Groves families,."
"cbh-000289","\\$a14011080",,,"John Grow of Ipswich :"
"ocm07676824","\\$a14011906",,,"The Grubb families of America :"
"ocm13999496",,,,"Genealogy of the descendants of John Guild, Dedham, Masachusetts."
"ocm13466228","\\$a21002084",,,"Eightieth birth-day anniversary of Deacon Reuben Guild, West Dedham, Massachusetts, September 20, 1873 :"
"ocn181604537","\\$a85100918",,,"Genealogy of a part of the Guild family in the United States and Canada and an enumeration of the descendants of Jeremiah Guild of the fifth generation /"
"ocm12173286","\\$a84236201",,,"Lebanon branch of the Guild family in Connecticut and some of its descendants :"
"ocm09510215","\\$a09010200",,,"The genealogy and history of the Guild, Guile and Gile family."
"ocm09719076","\\$a50026011",,,"Gullicks and allied families, 1653-1948."
"cbh-000290","\\$a26002178",,,"The Gunns /"
"ocm05177478","\\$a12017718",,,"A genealogy of the descendants of Hugh Gunnison of Boston, Mass., covering the period from 1610-1876."
"ocm01842641","\\$a84240456",,,"The history and genealogy of the Gurley family ... /"
"ocm13168944","\\$a09024238",,,"Genealogy of Samuel Gourley and his descendants, 1784-1909 :"
"ocm13174816","\\$a39001027",,,"Abraham Guseman descendants /"
"ocm01842376","\\$a29022572",,,"The Gustine compendium /"
"ocm16409445","\\$a05039051 //r43",,,"Ancestry of John S. Gustin and his wife, Susan McComb,"
"ocm58670684","\\$a09001197$z09001197",,,"A brief history of a branch of the Guthrie family."
"ocm09901823","\\$a05019074",,,"Records of the Guthrie family, of Pennsylvania, Connecticut, and Virginia :"
"ocm05134270","\\$a33018282",,,"American Guthrie and allied families :"
"ocm01842647","\\$a28015063",,,"The Gutterson family /"
"ocn191112325","\\$anuc87526045",,,"Genealogical record of the descendants (as far as known) of William Guy :"
"ocm13229910","\\$a05017854",,,"Thomas Gyles and his neighbors, 1669-1689, or, The settlement of the lower Kennebec /"
"ocm03512333","\\$a51007595$z51007595",,,"The Hagey families in America and Dulaney family,."
"ocm01829943","\\$a47029254 /*",,,"Meet your grandfather,"
"ocm01845415","\\$a11014236",,,"The Hakes family"
"ocm10491545","\\$a09010196",,,"The Hakes family /"
"ocm13994989","\\$a09010195",,,"Thomas Hale :"
"ocm13174922","\\$anuc87641515",,,"The Hale family of Connecticut /"
"ocm13923619",,,,"The descendants of Thomas Hale of Delaware: with an account of the Jamison and Green families."
"cbh-000291","\\$a02017874",,,"Descendants of Major Samuel Hale."
"ocm01491163","\\$anuc87558804",,,"Hale, House, and related families,"
"ocm11339965",,,,"Genealogical memoranda relating chiefly to the Hayley, Piper, Neal and Ricker families of Maine and New Hampshire."
"ocm12239362","\\$a17010578",,,"The ancestry of Charity Haley, 1755-1800 :"
"ocm07054634","\\$a09015595",,,"The Halls of New England."
"ocn192102017","\\$anuc87527585",,,"Genealogical notes relating to the families of Hon. Lyman Hall, of Georgia ... and Hon. Nathan Kelsey Hall, of Buffalo, N.Y. /"
"ocm13410054","\\$a39012225",,,"Family records of Theodore Parsons Hall and Alexandrine Louise Godfroy, of ""Tonnancour,"" Grosse Pointe, near Detroit, Michigan /"
"ocm03512381","\\$a04021136",,,"Records of Captain John Hall, born May 27, 1723, died Aug. 6, 1777, in the defense of his country :"
"ocm07074681","\\$a03016249",,,"Memoranda relating to the ancestry and family of Sophia Fidelia Hall,"
